编号,色号,名称,颜色
1,A1,,#FAF5CD
2,A2,,#FCFED6
3,A3,,#FCFF92
4,A4,,#F7EC5C
5,A5,,#FFE44B
6,A6,,#FDA951
7,A7,,#FA8C4F
8,A8,,#F9E045
9,A9,,#F99C5F
10,A10,,#F47E36
11,A11,,#FEDB99
12,A12,,#FDA276
13,A13,,#FEC667
14,A14,,#F85842
15,A15,,#FBF65E
16,A16,,#FEFF97
17,A17,,#FDE173
18,A18,,#FCBF80
19,A19,,#FD7E77
20,A20,,#F9D66E
21,A21,,#FAE393
22,A22,,#EDF878
23,A23,,#E1C9BD
24,A24,,#F3F6A9
25,A25,,#FFD785
26,A26,,#FEC832
27,B1,,#DFF139
28,B2,,#64F343
29,B3,,#9FF685
30,B4,,#5FDF34
31,B5,,#39E158
32,B6,,#64E0A4
33,B7,,#3FAE7C
34,B8,,#1D9E54
35,B9,,#2A5037
36,B10,,#9AD1BA
37,B11,,#627032
38,B12,,#1A6E3D
39,B13,,#C8E87D
40,B14,,#ACE84C
41,B15,,#305335
42,B16,,#C0ED9C
43,B17,,#9EB33E
44,B18,,#E6ED4F
45,B19,,#26B78E
46,B20,,#CAEDCF
47,B21,,#176268
48,B22,,#0A4241
49,B23,,#343B1A
50,B24,,#E8FAA6
51,B25,,#4E846D
52,B26,,#907C35
53,B27,,#D0E0AF
54,B28,,#9EE5BB
55,B29,,#C6DF5F
56,B30,,#E3FBB1
57,B31,,#B2E694
58,B32,,#92AD60
59,C1,,#E8FFE7
60,C2,,#ABF8FE
61,C3,,#9EE0F8
62,C4,,#44CDFB
63,C5,,#06ABE3
64,C6,,#54A7E9
65,C7,,#3977CC
66,C8,,#0F52BD
67,C9,,#3349C3
68,C10,,#3DBBE3
69,C11,,#2ADED3
70,C12,,#1E334E
71,C13,,#CDE7FE
72,C14,,#D6FDFC
73,C15,,#21C5C4
74,C16,,#1858A2
75,C17,,#02D1F3
76,C18,,#213244
77,C19,,#188690
78,C20,,#1A70A9
79,C21,,#BEDDFC
80,C22,,#6BB1BB
81,C23,,#C8E2F9
82,C24,,#7EC5F9
83,C25,,#A9E8E0
84,C26,,#42ADD1
85,C27,,#D0DEEF
86,C28,,#BDCEED
87,C29,,#364A89
88,D1,,#ACB7EF
89,D2,,#868DD3
90,D3,,#3653AF
91,D4,,#162C7E
92,D5,,#B34EC6
93,D6,,#B37BDC
94,D7,,#8758A9
95,D8,,#E3D2FE
96,D9,,#D6BAF5
97,D10,,#301A49
98,D11,,#BCBAE2
99,D12,,#DC99CE
100,D13,,#B5038F
101,D14,,#882893
102,D15,,#2F1E8E
103,D16,,#E2E4F0
104,D17,,#C7D3F9
105,D18,,#9A64B8
106,D19,,#D8C2D9
107,D20,,#9C34AD
108,D21,,#940595
109,D22,,#383995
110,D23,,#FADBF8
111,D24,,#768AE1
112,D25,,#4950C2
113,D26,,#D6C6EB
114,E1,,#F6D4CB
115,E2,,#FCC1DD
116,E3,,#F6BDE8
117,E4,,#E9639E
118,E5,,#F1559F
119,E6,,#EC4072
120,E7,,#C63674
121,E8,,#FDDBE9
122,E9,,#E575C7
123,E10,,#D33997
124,E11,,#F7DAD4
125,E12,,#F893BF
126,E13,,#B5026A
127,E14,,#FAD4BF
128,E15,,#F5C9CA
129,E16,,#FBF4EC
130,E17,,#F7E3EC
131,E18,,#FBCBDB
132,E19,,#F6BBD1
133,E20,,#D7C6CE
134,E21,,#C09DA4
135,E22,,#B58B9F
136,E23,,#937D8A
137,E24,,#DEBEE5
138,F1,,#FF9280
139,F2,,#F73D48
140,F3,,#EF4D3E
141,F4,,#F92B40
142,F5,,#E30328
143,F6,,#913635
144,F7,,#911932
145,F8,,#BB0126
146,F9,,#E0677A
147,F10,,#874628
148,F11,,#6F321D
149,F12,,#F8516D
150,F13,,#F45C45
151,F14,,#FCADB2
152,F15,,#D50527
153,F16,,#F8C0A9
154,F17,,#E89B7D
155,F18,,#D07E4A
156,F19,,#BE454A
157,F20,,#C69495
158,F21,,#F2BBC6
159,F22,,#F7C3D0
160,F23,,#EC806D
161,F24,,#E09DAF
162,F25,,#E84854
163,G1,,#FFE4D3
164,G2,,#FCC6AC
165,G3,,#F1C4A5
166,G4,,#DCB387
167,G5,,#E7B34E
168,G6,,#F3A014
169,G7,,#98503A
170,G8,,#4B2B1C
171,G9,,#E4B685
172,G10,,#DA8C42
173,G11,,#DAC898
174,G12,,#FEC993
175,G13,,#B2714B
176,G14,,#8B684C
177,G15,,#FCF9E0
178,G16,,#F2D8C1
179,G17,,#79544E
180,G18,,#FFE4D6
181,G19,,#DD7D41
182,G20,,#A5452F
183,G21,,#B38561
184,H1,,#FBFBFB
185,H2,,#FFFFFF
186,H3,,#B4B4B4
187,H4,,#878787
188,H5,,#464648
189,H6,,#2C2C2C
190,H7,,#010101
191,H8,,#E7D6DC
192,H9,,#EFEDEE
193,H10,,#ECEAEB
194,H11,,#CDCDCD
195,H12,,#FDF6EE
196,H13,,#F4EFD1
197,H14,,#CED7D4
198,H15,,#98A6A6
199,H16,,#1B1213
200,H17,,#F0EEEF
201,H18,,#FCFFF8
202,H19,,#F2EEE5
203,H20,,#96A09F
204,H21,,#FFFBE1
205,H22,,#CACADA
206,H23,,#9B9C94
207,M1,,#BBC6B6
208,M2,,#909994
209,M3,,#697E80
210,M4,,#E0D4BC
211,M5,,#D0CBAE
212,M6,,#B0AA86
213,M7,,#B0A796
214,M8,,#AE8082
215,M9,,#A88764
216,M10,,#C6B2BB
217,M11,,#9D7693
218,M12,,#644B51
219,M13,,#C79266
220,M14,,#C37463
221,M15,,#747D7A
